ID,性別,OL申込,年齢,機種,P購入,コース,C応募,FM登録,ML購読,通話分数,通話回数,請求額,契約
T1000468,F,0,43,B,2,E,0,0,0,34.6,30,5801,Y
T1000489,M,1,61,B,2,F,0,0,1,19.97,1,6633,Y
T1000490,F,0,29,B,1,E,0,1,0,80.56,3,4896,Y
T1000506,F,0,63,A,0,E,0,1,0,81.89,6,3565,Y
T1000513,F,0,27,A,0,E,1,0,0,86.35,25,4983,Y
T1000520,F,0,84,C,3,F,1,0,0,63.79,18,8330,Y
T1000533,M,0,71,B,3,F,1,0,1,51.87,2,7232,Y
T1000548,M,0,25,A,0,E,0,0,1,75.43,44,6440,Y
T1000567,M,0,52,B,0,E,0,0,0,87.44,4,4808,Y
T1000577,M,0,44,A,0,E,0,0,0,42.63,9,3941,Y
T1000585,F,0,60,C,3,F,0,1,0,9.56,12,8782,Y
T1000599,M,0,67,B,2,X,0,0,0,63.34,6,8844,Y
T1000606,M,0,85,A,0,F,1,0,0,17.26,5,6687,Y
T1000610,M,0,44,C,0,E,0,0,0,52.04,12,5495,Y
T1000623,F,0,76,C,1,F,0,0,0,44.99,20,7428,Y
T1000651,F,0,45,A,0,E,0,0,0,100.91,12,4281,Y
T1000693,F,0,79,A,0,F,1,0,0,30.87,1,6866,Y
T1000703,M,0,30,C,0,E,0,0,0,66.47,40,7940,Y
T1000727,F,0,36,A,0,X,0,0,0,58.4,3,6880,Y
T1000747,M,0,37,C,3,X,0,0,0,37.57,5,8095,Y
T1000764,M,0,48,A,0,E,1,1,1,95.27,13,4620,Y
T1000775,F,0,79,C,3,F,0,0,0,122.26,9,12701,Y
T1000783,F,0,67,A,0,X,1,0,1,134.07,116,6243,Y
T1000798,F,1,23,B,0,E,0,0,1,54.59,4,4490,Y
T1000808,M,1,38,B,0,E,0,0,1,58.06,8,4975,Y
T1000817,F,0,48,B,0,E,0,0,0,82.78,19,5291,Y
T1000822,M,0,33,C,0,E,0,0,0,126.55,12,5838,Y
T1000837,F,0,36,A,0,E,0,1,0,48.06,8,3797,Y
T1000846,M,0,53,A,0,F,0,1,1,139.55,9,9279,Y
T1000851,F,0,54,A,0,X,1,1,0,39.2,9,7494,Y
T1000863,M,0,67,B,2,E,1,1,0,3.99,4,4078,Y
T1000878,M,0,26,A,0,E,0,1,1,53.26,9,4055,Y
T1000895,M,0,64,A,0,E,0,0,0,7.08,16,6553,Y
T1000904,F,0,42,A,0,F,0,0,0,41.09,23,6139,Y
T1000917,M,0,72,B,1,E,0,1,0,57.72,108,10784,Y
T1000925,M,0,23,A,0,E,0,0,0,57.87,3,3993,Y
T1000934,M,0,68,B,2,E,0,1,1,18.17,13,4956,Y
T1000944,M,1,36,C,0,E,1,1,0,112.17,11,5203,Y
T1000956,M,0,64,C,2,F,0,1,0,0.48,7,7885,Y
T1000964,F,0,40,B,0,E,0,0,0,155.23,43,6745,Y
T1000970,F,0,37,C,2,E,0,0,0,75.77,34,7684,Y
T1000986,M,0,37,A,0,F,0,0,0,8.65,5,6695,Y
T1000999,F,0,83,C,2,F,0,0,0,61.55,4,10466,Y
T1001008,M,1,53,A,0,F,0,0,0,114.14,29,9123,Y
T1001014,F,0,40,A,0,F,0,0,0,59.32,8,6622,Y
T1001033,F,0,61,B,1,F,0,0,1,32.79,10,7053,Y
T1001058,F,0,58,A,0,X,0,0,0,38.53,7,6327,Y
T1001063,M,0,45,C,0,E,0,0,0,13.12,5,5155,Y
T1001076,F,0,38,C,3,E,0,0,0,50.1,19,6332,Y
T1001083,M,0,67,B,0,F,0,0,0,17.52,14,7647,Y
T1001095,M,0,25,A,0,F,0,1,0,79.92,8,7835,Y
T1001103,F,0,46,B,2,E,0,0,0,54.56,12,4459,Y
T1001112,M,0,53,B,2,F,0,0,0,99.97,13,9991,Y
T1001123,F,0,73,A,0,F,0,0,0,80.88,3,7213,Y
T1001135,M,0,71,A,0,E,0,0,0,57.89,17,6542,Y
T1001155,M,0,66,C,2,E,0,0,0,26.89,38,7963,Y
T1001167,M,0,75,B,0,E,0,1,0,53.17,32,6803,Y
T1001177,M,0,58,B,0,E,0,1,0,107.1,49,7287,Y
T1001196,M,0,85,A,0,F,0,1,0,87.12,15,7256,Y
T1001217,F,0,40,C,1,E,1,1,0,71.16,8,6047,Y
T1001235,M,0,74,A,0,F,0,0,0,33.43,4,5875,Y
T1001271,M,0,29,A,0,E,0,0,0,40.65,12,3979,Y
T1001304,M,0,70,C,2,F,0,1,0,64.87,12,8486,Y
T1001317,F,0,26,C,0,E,0,0,1,46.83,2,5062,Y
T1001320,M,0,37,C,0,E,0,0,1,170.62,88,11193,Y
T1001338,F,0,85,A,0,F,0,0,0,33.62,10,6750,Y
T1001341,F,0,45,A,0,E,0,0,1,52.92,15,3921,Y
T1001380,F,1,56,B,0,E,0,0,0,7.77,1,3941,Y
T1001399,M,0,25,B,0,E,0,1,0,113.85,18,5466,Y
T1001409,F,0,66,A,0,F,0,0,0,32.05,29,6369,Y
T1001411,M,0,89,B,3,F,0,0,0,9.63,6,7456,Y
T1001427,M,0,76,A,0,X,1,0,0,55.67,1,8161,Y
T1001430,F,0,58,A,0,X,0,1,0,23.35,67,6803,Y
T1001446,M,0,26,B,0,E,0,0,0,25.12,3,4545,Y
T1001458,M,0,77,B,1,F,1,0,0,53.02,3,6868,Y
T1001465,M,0,75,A,0,X,0,0,1,56.35,5,6673,Y
T1001478,M,0,48,A,0,E,0,1,0,15.86,2,3593,Y
T1001488,F,0,54,C,1,E,1,0,0,47.16,5,5373,Y
T1001490,F,1,47,B,0,E,1,0,0,125.73,7,4859,Y
T1001506,M,0,29,C,0,E,0,0,1,66.72,3,5353,Y
T1001515,F,0,66,B,2,F,0,1,0,9.65,13,7253,Y
T1001539,M,0,64,A,0,X,0,0,0,16.51,6,6283,Y
T1001558,M,0,68,B,1,F,0,1,0,32.16,3,8469,Y
T1001570,M,0,52,A,0,F,0,0,0,96.75,12,8481,Y
T1001594,M,0,83,A,0,E,0,0,0,33.78,12,6819,Y
T1001607,M,0,32,A,0,F,0,0,0,123.04,19,8948,Y
T1001613,M,1,78,C,3,F,0,1,0,19.17,17,8018,Y
T1001626,M,0,75,C,2,F,0,0,0,53.37,35,8115,Y
T1001649,F,0,75,A,0,F,0,0,0,86.12,96,8713,Y
T1001652,M,0,41,C,0,E,0,1,0,30.22,17,6499,Y
T1001669,F,0,59,C,1,E,0,0,1,65.96,38,7867,Y
T1001672,M,0,77,B,2,E,1,0,0,34.54,9,4483,Y
T1001688,F,0,78,C,2,F,1,0,0,23.04,13,8383,Y
T1001694,F,0,49,C,1,E,0,0,0,10.25,2,5606,Y
T1001702,M,0,29,A,0,E,0,1,0,114.37,3,3727,Y
T1001714,M,0,26,A,0,E,0,1,0,94.91,4,3383,Y
T1001729,F,0,53,C,2,E,0,1,0,105.86,5,5360,Y
T1001736,M,0,85,A,0,E,0,0,0,48.01,36,6680,Y
T1001747,F,0,66,C,2,E,1,1,0,56.39,18,6861,Y
T1001759,M,0,69,A,0,E,1,0,0,27.33,3,6500,Y
T1001765,F,0,87,A,0,X,0,0,0,2.81,4,6943,Y
T1001774,F,0,34,A,0,F,0,1,1,36.79,5,6292,Y
T1001786,M,0,89,C,3,F,0,0,1,10.89,7,8731,Y
T1001798,M,0,79,A,0,X,1,1,0,48.49,10,6235,Y
T1001802,M,0,59,C,2,X,0,1,1,74.08,3,8707,Y
T1001818,M,0,69,C,1,E,0,0,0,90.89,28,6229,Y
T1001839,M,0,85,C,3,E,0,0,0,55.49,16,8774,Y
T1001858,F,1,56,C,1,F,0,0,1,64.65,9,9655,Y
T1001866,F,0,53,A,0,X,0,1,1,27.33,21,6784,Y
T1001872,F,0,39,C,1,E,0,0,0,24.5,9,5834,Y
T1001884,M,0,49,B,2,E,0,0,0,75.62,99,10114,Y
T1001906,M,0,70,A,0,F,0,0,0,84.25,4,7234,Y
T1001918,M,0,21,A,0,E,0,1,0,77.3,5,3867,Y
T1001931,M,0,30,A,0,E,0,0,0,35.85,4,3586,Y
T1001948,F,0,76,A,0,X,0,0,0,44.85,4,7125,Y
T1001951,F,0,82,B,1,E,1,0,1,113.04,5,8322,Y
T1001966,F,0,21,C,1,E,0,0,0,91.25,38,7715,Y
T1001973,F,0,54,A,0,F,1,0,0,22.2,2,5356,Y
T1002000,M,0,75,B,2,F,0,0,0,7.91,10,7083,Y
T1002022,M,0,54,B,1,E,0,0,0,64.03,7,4404,Y
T1002032,M,0,72,C,2,X,0,1,1,46.87,24,8348,Y
T1002047,M,0,88,C,3,F,1,0,0,50.8,10,8194,Y
T1002055,M,0,42,B,2,F,0,0,0,14.74,1,6563,Y
T1002069,F,1,67,B,1,F,1,0,0,30.94,6,6728,Y
T1002078,M,0,69,A,0,E,0,0,0,5.98,2,6816,Y
T1002089,M,0,20,C,0,E,0,1,0,112.27,46,7883,Y
T1002092,M,0,79,C,3,X,0,0,0,112.11,58,9225,Y
T1002117,F,0,71,C,1,F,1,1,1,37.97,3,8982,Y
T1002128,M,0,87,C,3,X,1,0,0,19.9,3,8240,Y
T1002142,F,0,23,A,0,E,1,1,0,26.75,7,3735,Y
T1002161,M,0,22,C,2,E,0,1,0,92.94,1,5196,Y
T1002174,M,0,89,C,3,F,1,0,0,53.49,7,8452,Y
T1002186,F,0,49,B,0,E,0,0,0,85.88,5,4876,Y
T1002198,M,0,45,A,0,X,0,0,0,89.36,6,7170,Y
T1002207,M,1,34,B,1,E,0,0,0,42.28,7,4478,Y
T1002212,M,0,76,B,2,E,0,0,1,8.22,1,4394,Y
T1002223,F,0,83,C,0,E,1,0,0,56.05,11,8889,Y
T1002244,F,0,90,C,2,E,1,1,0,145.41,11,8482,Y
T1002254,M,0,39,C,2,E,0,0,0,68.51,5,5380,Y
T1002261,F,0,88,C,3,F,0,1,1,21.09,20,8868,Y
T1002276,M,0,44,A,0,E,0,0,0,56.11,9,4030,Y
T1002295,M,0,81,B,1,E,0,0,0,84.12,12,5017,Y
T1002301,M,0,53,C,1,E,0,0,0,88.37,11,6201,Y
T1002315,M,0,63,B,1,E,1,1,0,23.55,1,5070,Y
T1002320,F,0,79,C,2,F,1,1,0,17.44,38,8413,Y
T1002333,F,0,42,A,0,E,0,1,0,99.61,24,5070,Y
T1002342,M,0,79,A,0,X,0,0,1,28.28,13,6457,Y
T1002361,M,0,50,A,0,E,0,0,0,86.65,29,5135,Y
T1002381,F,1,53,B,1,E,0,0,0,105.62,8,4782,Y
T1002405,F,0,21,B,0,E,0,0,0,70.21,16,5952,Y
T1002410,F,0,67,C,2,E,0,1,0,71.92,3,4937,Y
T1002449,F,0,85,C,1,E,0,1,1,97.79,40,7694,Y
T1002469,F,1,54,A,0,E,0,0,0,42.92,25,5527,Y
T1002470,M,0,76,A,0,X,0,0,0,57.56,28,6823,Y
T1002484,F,0,57,A,0,E,0,1,0,56.06,9,4460,Y
T1002494,M,0,36,A,0,E,0,0,0,81.02,16,3844,Y
T1002512,M,0,62,B,0,E,0,0,0,80.52,10,4870,Y
T1002522,F,1,52,B,1,E,0,0,1,47,5,5313,Y
T1002554,M,0,52,A,0,F,0,1,0,70.01,2,7781,Y
T1002560,M,0,33,C,1,E,0,0,0,32.83,7,5630,Y
T1002573,F,1,48,A,0,F,0,1,0,78.91,14,7250,Y
T1002586,M,0,71,A,0,E,1,0,0,55.71,7,6657,Y
T1002594,F,0,61,B,0,E,0,0,1,52.77,4,4701,Y
T1002631,F,1,27,B,0,E,0,0,1,74.6,65,8722,Y
T1002643,M,0,55,C,2,E,1,0,0,65.89,3,5252,Y
T1002664,M,0,38,A,0,E,0,0,0,53.32,4,3570,Y
T1002682,F,0,51,C,2,F,0,0,1,47.78,4,9141,Y
T1002699,F,0,46,A,0,E,0,0,0,84.37,9,3962,Y
T1002718,F,0,78,A,0,F,1,0,0,115.07,28,6204,Y
T1002729,F,0,43,C,2,E,0,0,0,48.54,30,7594,Y
T1002739,M,0,43,A,0,E,0,1,0,26.46,3,3585,Y
T1002743,F,0,38,C,0,E,0,0,0,46.92,9,5848,Y
T1002750,M,0,82,C,2,E,0,0,1,28.63,4,8342,Y
T1002768,F,0,56,C,2,F,0,1,0,63.35,11,8286,Y
T1002776,M,0,48,C,1,F,0,1,1,37.47,24,9707,Y
T1002794,M,0,24,A,0,E,0,1,1,122.77,159,12446,Y
T1002800,M,0,65,C,1,E,0,1,0,66.12,62,8952,Y
T1002812,F,0,28,A,0,E,0,0,1,147.9,25,4900,Y
T1002822,F,0,27,C,1,E,0,0,0,0.19,3,4979,Y
T1002830,F,0,45,B,0,E,0,0,0,52.79,9,5261,Y
T1002849,M,0,50,A,0,E,0,0,1,35.44,4,4135,Y
T1002858,M,0,43,B,0,E,0,1,1,95.76,44,6976,Y
T1002868,F,0,41,B,0,E,0,0,1,71.81,15,4891,Y
T1002877,M,0,58,A,0,E,0,0,0,39.49,7,4437,Y
T1002884,M,0,31,A,0,E,0,0,0,53.72,11,4421,Y
T1002905,F,0,34,A,0,E,0,0,0,72.33,18,4960,Y
T1002913,F,1,37,B,0,E,0,0,0,2.21,3,4229,Y
T1002928,M,0,83,C,3,E,1,0,0,123.28,10,8517,Y
T1002949,F,0,49,A,0,F,0,0,0,49.9,24,7369,Y
T1002959,M,1,51,C,1,E,0,0,0,118.67,66,8646,Y
T1002969,F,0,71,A,0,F,0,0,0,6.11,4,5762,Y
T1002970,M,0,52,A,0,E,1,0,0,5.93,7,3153,Y
T1002985,F,0,76,C,3,F,0,0,0,63.94,22,10968,Y
T1002994,M,0,73,B,1,E,1,0,0,34.05,5,4541,Y
T1003000,M,0,68,B,2,F,0,1,0,3.07,2,7452,Y
T1003027,M,0,62,B,1,E,0,0,0,58.42,15,5239,Y
T1003031,M,0,42,A,0,X,0,1,0,111.1,24,6892,Y
T1003049,M,0,52,A,0,F,0,0,0,2.15,3,5692,Y
T1003053,F,0,54,C,1,F,0,0,1,53.2,14,8689,Y
T1003068,M,1,77,B,2,F,1,1,0,57.91,5,8476,Y
T1003073,F,0,29,C,1,E,0,0,0,57.57,21,6114,Y
T1003086,F,0,26,B,0,E,0,1,1,73.94,11,5289,Y
T1003095,M,1,59,C,1,E,0,0,0,91.53,7,6058,Y
T1003111,M,0,76,B,1,X,1,1,0,4.15,4,7477,Y
T1003129,M,1,29,B,1,E,1,0,0,33.42,5,4411,Y
T1003139,F,1,33,A,0,E,0,0,1,72.33,55,6717,Y
T1003143,M,0,70,C,2,F,1,0,0,78.6,3,8624,Y
T1003153,M,0,69,C,2,E,1,1,0,64.96,14,8604,Y
T1003178,M,1,37,B,0,E,0,0,0,34.77,8,4804,Y
T1003183,F,0,66,A,0,F,0,1,1,23.44,26,6764,Y
T1003194,F,0,59,B,0,E,0,1,0,43.13,5,4948,Y
T1003202,F,0,37,C,2,E,0,0,0,1.15,4,5264,Y
T1003229,F,0,82,C,3,E,1,1,0,114.07,43,8483,Y
T1003237,M,0,23,A,0,E,0,0,1,37.52,2,3669,Y
T1003240,F,0,36,C,1,E,0,0,0,22.98,12,6325,Y
T1003256,F,1,36,B,0,E,0,0,0,10.74,26,5803,Y
T1003268,M,0,44,A,0,X,0,0,1,71.2,13,6392,Y
T1003275,F,0,55,B,1,E,0,0,0,158.67,27,6128,Y
T1003285,F,0,71,C,3,E,1,1,1,62.33,3,8357,Y
T1003299,F,0,27,A,0,E,0,0,1,43.57,2,3705,Y
T1003322,F,0,41,A,0,E,0,0,0,41.36,3,3404,Y
T1003351,M,0,54,A,0,F,0,0,1,66.59,8,6795,Y
T1003361,F,0,60,C,3,F,1,1,0,34.07,31,8130,Y
T1003377,M,0,27,C,1,E,1,0,0,126.85,29,7450,Y
T1003390,F,0,72,B,1,E,1,0,0,50.13,41,6372,Y
T1003419,M,0,41,C,2,E,0,1,0,70.23,13,6233,Y
T1003425,M,0,36,A,0,E,0,1,0,35.29,8,3393,Y
T1003439,M,0,72,A,0,X,0,0,1,51.98,11,6431,Y
T1003485,F,0,82,A,0,E,0,0,0,175.67,51,6609,Y
T1003497,M,0,73,A,0,E,0,0,1,87.48,5,6889,Y
T1003502,F,0,39,C,1,E,0,1,0,56.88,19,6551,Y
T1003510,F,1,71,C,0,F,0,1,0,38.71,12,9597,Y
T1003524,M,0,60,B,3,E,0,0,0,62.73,6,4698,Y
T1003547,F,0,37,A,0,X,1,0,0,43.69,7,7254,Y
T1003552,F,0,84,A,0,X,0,1,1,86.75,4,7184,Y
T1003579,M,0,67,A,0,F,0,0,1,79.44,46,9190,Y
T1003580,M,0,82,C,2,F,1,0,0,99.44,39,11919,Y
T1003592,M,0,74,A,0,X,0,0,0,38.67,22,6616,Y
T1003606,F,0,45,C,2,E,0,0,0,45.24,4,5630,Y
T1003629,F,1,72,B,0,E,1,1,0,34.08,8,5158,Y
T1003634,F,0,77,B,1,F,0,0,0,19.74,8,7739,Y
T1003642,M,0,80,C,2,X,0,0,1,44.69,3,8957,Y
T1003659,M,0,32,A,0,E,0,1,0,53.25,14,4225,Y
T1003663,M,0,63,B,1,E,0,0,0,111.77,10,4767,Y
T1003671,F,0,80,C,3,E,0,1,0,32.76,16,8301,Y
T1003680,M,1,77,C,2,F,0,0,1,13.5,10,8960,Y
T1003698,M,0,64,A,0,F,0,0,1,44.19,6,7150,Y
T1003702,F,0,70,A,0,F,0,0,0,45.13,1,6916,Y
T1003713,M,0,46,A,0,F,0,0,0,38.03,4,6888,Y
T1003727,M,0,89,B,3,F,0,1,0,2.98,2,7998,Y
T1003739,M,1,34,B,0,E,0,1,0,44.66,6,4453,Y
T1003756,M,0,70,B,0,E,1,0,0,44.12,2,4158,Y
T1003787,F,1,38,C,1,E,0,0,0,77.23,18,6295,Y
T1003802,F,0,28,C,1,E,0,0,0,93.81,6,5824,Y
T1003818,F,0,51,B,1,E,0,1,0,90,9,4249,Y
T1003825,F,1,81,B,2,F,1,1,0,43.44,16,7389,Y
T1003836,M,0,73,A,0,E,1,1,1,62.14,59,6426,Y
T1003842,F,0,42,B,2,E,0,0,0,94.36,22,5703,Y
T1003869,F,0,69,A,0,E,0,1,1,42.14,6,6212,Y
T1003892,F,0,84,B,2,F,0,0,0,69.82,9,9419,Y
T1003914,F,0,46,C,1,E,0,0,0,10.88,3,5580,Y
T1003927,F,0,38,A,0,F,0,1,0,64.94,49,7103,Y
T1003934,M,0,56,A,0,F,0,1,1,0.99,4,5786,Y
T1003946,M,0,26,A,0,E,0,0,0,72.48,58,7228,Y
T1003950,M,0,36,A,0,F,0,0,1,1.94,2,5953,Y
T1003967,F,0,67,C,1,F,0,1,1,54.06,6,8147,Y
T1003979,F,0,51,A,0,E,0,1,0,108.07,17,4705,Y
T1003984,M,1,51,B,1,E,0,1,0,2.76,12,5289,Y
T1004002,F,0,28,B,0,E,1,0,0,49.27,10,4992,Y
T1004012,M,0,21,A,0,E,0,0,0,134.33,29,5286,Y
T1004025,M,0,70,B,2,E,1,0,0,122.32,57,7660,Y
T1004035,M,1,52,B,0,E,0,0,0,2.76,5,4738,Y
T1004059,M,0,62,C,1,E,0,1,0,144.1,42,7989,Y
T1004061,M,0,70,B,0,F,0,1,0,45.33,13,7339,Y
T1004078,M,0,58,A,0,E,1,0,0,25.18,10,3595,Y
T1004087,M,0,25,A,0,E,0,1,0,17.71,5,3767,Y
T1004105,M,0,50,A,0,E,0,1,0,28.95,3,3927,Y
T1004119,F,1,31,B,1,E,0,0,0,44.97,3,4062,Y
T1004129,F,0,73,B,3,F,0,1,0,106.14,54,10039,Y
T1004139,F,0,75,C,0,F,0,0,0,52.33,4,7607,Y
T1004145,M,0,64,B,2,F,0,0,0,73.46,17,7597,Y
T1004151,F,0,54,A,0,F,0,0,0,71.61,13,7229,Y
T1004183,F,0,65,A,0,F,0,0,0,81.07,5,6689,Y
T1004193,F,0,44,B,0,E,0,0,1,80.87,13,5046,Y
T1004208,F,0,47,A,0,F,0,1,1,1.4,11,6237,Y
T1004219,F,0,65,A,0,F,0,1,0,38.99,7,6677,Y
T1004236,F,0,34,C,1,E,0,0,1,75.65,76,9971,Y
T1004248,M,0,52,A,0,F,1,0,0,7.01,29,7033,Y
T1004251,M,0,32,A,0,E,0,0,0,2.29,2,3919,Y
T1004265,F,0,59,B,0,E,0,0,1,121.42,22,5037,Y
T1004283,F,0,41,B,0,E,0,1,0,62.14,11,4607,Y
T1004309,F,0,47,C,0,E,0,0,0,51.05,6,5796,Y
T1004313,M,0,43,B,2,E,0,0,0,43.76,40,6565,Y
T1004335,M,1,38,C,2,E,1,0,1,48.79,7,5747,Y
T1004340,F,0,41,C,1,E,0,0,1,38.63,5,4817,Y
T1004354,F,0,40,A,0,E,0,0,0,45.41,3,4044,Y
T1004363,M,0,54,C,2,E,0,0,0,35.11,11,6316,Y
T1004372,M,0,65,A,0,F,0,0,1,66.78,4,6934,Y
T1004388,F,0,55,C,1,E,0,0,0,1.55,9,5703,Y
T1004390,M,0,57,B,1,F,0,0,0,87.35,5,10123,Y
T1004402,F,0,71,A,0,F,1,0,0,74.33,88,8141,Y
T1004425,M,0,43,A,0,E,0,0,0,33.94,5,3822,Y
T1004439,M,0,37,A,0,E,0,0,0,72.63,16,4473,Y
T1004449,M,0,56,A,0,X,1,0,1,15.95,4,6427,Y
T1004453,M,0,36,C,1,E,0,1,0,27.22,8,5850,Y
T1004477,M,0,68,C,3,F,0,0,0,32.25,18,8463,Y
T1004486,F,0,89,C,3,F,1,0,1,23.99,6,8535,Y
T1004490,F,0,22,C,0,E,1,0,0,88.52,144,13853,Y
T1004506,F,0,27,C,0,E,0,1,0,20.94,7,5742,Y
T1004511,F,0,68,A,0,F,1,0,0,48.32,4,6796,Y
T1004525,F,0,70,B,1,F,0,0,0,119.5,72,7108,Y
T1004539,M,0,84,C,3,X,0,0,0,67.08,68,8339,Y
T1004548,M,0,69,C,3,E,0,0,0,104.74,6,8942,Y
T1004553,F,0,39,C,1,E,0,1,0,128.73,6,5836,Y
T1004563,M,0,44,B,1,F,0,0,0,67.28,30,8091,Y
T1004576,M,0,89,B,0,F,1,0,0,99.09,20,7733,Y
T1004585,F,0,37,B,0,E,0,0,0,37.06,20,5133,Y
T1004592,F,1,87,B,3,F,1,0,0,26.99,5,8078,Y
T1004608,F,0,57,C,1,E,0,1,0,16.35,6,5704,Y
T1004617,M,1,29,C,1,E,0,1,0,70.45,9,6201,Y
T1004621,F,1,46,B,1,E,0,0,0,132.32,112,10984,Y
T1004633,M,0,25,C,0,E,0,0,0,76.62,34,7161,Y
T1004642,M,0,38,A,0,E,0,1,0,41.9,7,4133,Y
T1004671,F,0,82,C,3,E,0,0,0,91.09,6,8898,Y
T1004681,F,0,66,C,2,F,0,0,0,19.7,3,7668,Y
T1004699,F,1,81,B,1,F,1,1,0,7.49,4,6710,Y
T1004701,F,0,23,A,0,E,0,0,0,41,1,4232,Y
T1004726,F,0,55,A,0,X,0,0,0,64.83,31,7188,Y
T1004743,F,0,50,A,0,E,0,0,0,26.49,3,3169,Y
T1004755,M,0,82,A,0,E,0,1,0,23.71,8,6808,Y
T1004768,M,0,80,B,2,F,1,0,0,5.61,1,6813,Y
T1004777,M,0,37,C,1,E,1,0,0,10.22,2,5156,Y
T1004788,F,0,85,A,0,E,1,1,1,52.39,7,6957,Y
T1004794,F,0,44,C,0,E,0,0,0,82.28,4,5313,Y
T1004812,M,0,53,A,0,X,0,0,0,14.8,4,6933,Y
T1004828,F,0,65,C,2,E,1,0,0,3.62,7,5876,Y
T1004836,F,0,70,A,0,F,0,0,1,58.42,21,7468,Y
T1004842,M,0,41,A,0,E,1,0,0,50.16,6,3447,Y
T1004878,M,0,72,A,0,X,1,1,0,64.68,17,6234,Y
T1004885,M,0,36,A,0,E,1,1,1,24.62,2,3499,Y
T1004899,M,0,52,A,0,X,0,0,1,57.26,10,6501,Y
T1004909,F,0,45,C,1,E,0,0,0,66.23,11,5419,Y
T1004918,M,0,80,C,3,E,0,0,0,28.9,1,8547,Y
T1004921,F,0,60,A,0,F,1,0,0,10.54,29,7208,Y
T1004933,M,0,63,B,1,E,0,0,0,40.02,8,5086,Y
T1004948,F,0,53,B,0,E,0,1,0,201.67,34,6772,Y
T1004960,M,0,38,A,0,E,0,0,0,58.59,42,5871,Y
T1004977,F,0,23,B,2,E,0,1,0,49.46,3,4566,Y
T1004980,F,0,37,C,1,E,0,1,1,18.39,3,5716,Y
T1004999,M,0,69,A,0,F,0,0,0,33,54,7188,Y
T1005009,F,0,53,B,1,E,0,1,0,73.95,14,5561,Y
T1005019,M,0,82,A,0,E,1,1,0,10.54,4,6404,Y
T1005027,F,0,29,C,0,E,0,0,0,11.7,2,5628,Y
T1005033,M,0,62,A,0,E,0,1,0,139.72,13,6742,Y
T1005042,F,0,22,B,0,E,0,0,0,42.33,25,5097,Y
T1005051,M,0,85,B,1,E,0,1,0,32.01,11,5277,Y
T1005068,M,0,54,A,0,E,0,1,1,35.3,9,4182,Y
T1005074,F,0,57,A,0,F,0,1,1,24.73,3,6321,Y
T1005087,M,0,34,B,2,E,0,1,0,151.64,10,5024,Y
T1005090,M,0,65,B,1,E,0,0,0,0.45,2,4700,Y
T1005108,F,1,57,B,2,F,0,0,0,102.57,15,9006,Y
