駅名,建物構造,徒歩分,専有面積,間取り,部屋数,築年,所在階,成約価格
溜池山王,SRC,8,42,R,2,197609,14,29000000
芝公園,RC,2,31,K,2,201402,4,42500000
浜松町,SRC,1,30,R,1,200511,1,30600000
五反田,SRC,6,25,R,3,200502,2,20600000
表参道,SRC,5,18,R,3,200610,15,28600000
乃木坂,SRC,1,25,R,1,201405,4,48100000
外苑前,RC,2,38,K,3,201308,35,54600000
北品川,SRC,1,51,R,1,201408,4,72300000
表参道,RC,12,86,K,1,200708,5,103200000
虎ノ門,SRC,8,72,K,3,197804,3,54600000
青山一丁目,SRC,10,59,DK,2,200906,3,72100000
溜池山王,RC,9,52,K,2,200203,12,55800000
六本木一丁目,RC,1,64,R,1,199711,8,77900000
大門,RC,1,60,R,1,200810,6,74300000
新橋,SRC,4,23,R,1,200708,2,20800000
日の出,SRC,1,69,R,2,200810,13,86700000
目黒,RC,3,69,DK,2,201102,2,77300000
目黒,RC,12,62,K,3,200610,2,53700000
高輪台,RC,3,63,R,2,199802,7,58500000
虎ノ門,SRC,1,74,K,1,197301,3,60800000
目黒,SRC,1,32,R,4,197712,7,23700000
日の出,RC,2,66,DK,1,199810,6,56200000
白金台,RC,4,76,K,3,201510,1,119500000
麻布十番,SRC,13,81,R,1,200607,27,117200000
天王洲アイル,RC,2,20,R,2,201509,16,29200000
溜池山王,RC,14,75,R,1,201201,9,80900000
白金高輪,SRC,6,13,R,3,199807,4,16500000
目黒,SRC,7,86,K,1,200011,26,95400000
外苑前,RC,8,26,DK,1,200508,9,34300000
日の出,SRC,4,47,K,1,201505,22,78800000
青山一丁目,SRC,14,54,R,2,200810,11,60500000
渋谷,RC,3,113,K,2,201504,17,192800000
赤羽橋,RC,6,56,K,1,201108,7,73900000
六本木一丁目,SRC,7,22,R,2,200610,7,30200000
外苑前,SRC,5,64,R,1,200401,3,77900000
白金台,RC,7,113,K,1,198807,17,130500000
白金台,RC,8,65,K,2,198003,7,58400000
赤坂,RC,13,82,R,2,200610,30,105500000
汐留,RC,2,128,R,3,200804,2,216100000
外苑前,RC,4,44,R,1,200906,30,78200000
汐留,SRC,4,41,R,1,200608,13,59100000
大門,RC,2,60,DK,2,197608,14,52100000
神谷町,SRC,10,65,R,2,200105,5,68100000
芝浦ふ頭,SRC,4,33,K,1,200708,5,33900000
表参道,SRC,8,30,K,1,198312,15,27200000
目黒,SRC,5,24,K,1,200611,33,32900000
御成門,RC,5,124,R,2,200206,5,176800000
三田,SRC,2,63,DK,2,199806,5,58900000
品川,RC,4,40,DK,1,198009,16,34800000
五反田,RC,3,33,DK,2,200510,4,32700000
北品川,SRC,12,25,DK,2,200303,1,22800000
芝浦ふ頭,SRC,3,57,DK,1,197806,34,53900000
白金台,SRC,4,63,K,2,197710,12,52400000
大門,SRC,8,108,R,1,201407,2,159100000
虎ノ門,SRC,5,55,K,1,200509,9,66400000
麻布十番,SRC,12,90,R,1,201802,9,195400000
五反田,RC,2,51,R,1,200610,7,50700000
田町,SRC,3,93,R,2,200410,3,103000000
田町,SRC,4,83,R,1,200608,11,97400000
五反田,SRC,3,92,K,2,197604,5,77300000
六本木,SRC,6,46,R,2,199911,7,49300000
新橋,RC,2,61,R,1,200003,6,62900000
大門,SRC,2,70,K,1,200610,2,67500000
お台場海浜公園,RC,2,39,K,2,200602,3,39900000
渋谷,RC,6,55,K,1,201509,10,72800000
六本木,RC,4,50,DK,1,200608,3,68600000
新橋,RC,5,95,R,2,200503,10,112400000
白金高輪,SRC,10,22,R,1,201202,7,26700000
日の出,SRC,4,108,DK,2,201111,1,134800000
六本木一丁目,RC,6,76,R,1,201210,9,138000000
日の出,SRC,8,87,K,2,200311,30,101700000
芝公園,RC,14,80,R,1,200105,7,71300000
六本木,RC,2,49,R,1,200611,2,70800000
北品川,RC,8,19,R,2,200206,14,16200000
六本木,SRC,6,50,R,2,197804,4,37300000
麻布十番,SRC,1,91,K,3,200610,4,138200000
外苑前,RC,4,61,R,1,196410,30,56600000
汐留,SRC,4,42,R,3,200501,6,47300000
御成門,RC,4,22,R,1,200205,28,28400000
渋谷,SRC,6,98,R,2,199708,24,115200000
外苑前,SRC,2,35,R,2,200402,17,44000000
赤坂,RC,8,70,R,1,198010,5,57100000
田町,SRC,4,44,DK,2,200401,24,52000000
六本木,RC,4,17,R,1,199702,3,19700000
青山一丁目,SRC,3,68,K,3,199204,43,88700000
溜池山王,RC,8,64,R,1,200510,40,82000000
赤坂見附,SRC,11,54,R,1,201202,6,67200000
白金高輪,RC,6,72,K,3,197909,6,64100000
表参道,RC,4,50,R,2,201202,12,79100000
赤坂,SRC,8,77,DK,2,200510,5,107500000
お台場海浜公園,SRC,11,47,DK,1,200303,3,34900000
白金高輪,RC,2,60,R,1,200505,34,79700000
田町,SRC,2,22,R,2,200812,22,27700000
汐留,RC,4,56,K,1,200804,7,84300000
高輪台,SRC,1,78,DK,1,200502,8,86700000
新橋,RC,14,86,DK,1,201401,3,90900000
白金台,RC,2,128,R,1,200511,2,172200000
芝浦ふ頭,RC,9,121,R,1,198206,5,96500000
芝公園,SRC,4,144,R,1,201312,4,219000000
表参道,SRC,8,85,R,3,199806,35,115000000
汐留,SRC,12,38,R,2,201902,8,58500000
天王洲アイル,RC,4,97,R,1,201409,2,129300000
赤羽橋,RC,7,47,K,1,201403,34,72100000
高輪台,RC,3,17,R,2,200002,6,20000000
新橋,SRC,1,47,R,1,198102,24,40500000
赤坂見附,RC,6,101,K,1,200209,5,130300000
赤羽橋,RC,7,30,K,3,200610,14,35700000
乃木坂,SRC,5,15,DK,2,200001,2,20200000
芝浦ふ頭,RC,5,101,R,1,201705,28,183200000
天王洲アイル,SRC,8,37,R,1,200906,2,38900000
三田,SRC,5,63,DK,1,197712,2,43300000
外苑前,SRC,6,26,K,3,200509,23,40600000
芝浦ふ頭,RC,8,88,R,2,197808,4,63100000
赤羽橋,SRC,6,60,R,2,201103,9,84000000
新橋,SRC,6,47,K,2,198307,5,35400000
五反田,SRC,3,20,K,1,201301,14,32700000
白金台,SRC,10,20,R,2,200610,40,28600000
高輪台,RC,4,103,R,1,198211,7,86500000
品川,RC,12,82,K,3,200409,14,73700000
浜松町,RC,12,51,K,1,201206,13,55800000
北品川,SRC,2,85,R,2,200812,9,107000000
白金高輪,RC,6,24,K,1,200610,10,24000000
品川,RC,10,80,R,2,200610,10,71300000
御成門,RC,5,82,K,4,200510,6,97000000
汐留,SRC,3,58,R,2,200209,27,83400000
日の出,RC,3,48,R,2,200507,37,59300000
六本木一丁目,RC,9,70,R,3,198009,4,59300000
天王洲アイル,SRC,9,34,R,1,200401,6,34300000
日の出,SRC,10,60,R,3,197805,7,38500000
乃木坂,SRC,5,25,K,1,199709,3,27800000
五反田,SRC,6,65,DK,1,201302,6,86300000
高輪台,RC,4,50,DK,1,201310,3,59300000
日の出,SRC,17,54,R,1,199707,3,33700000
溜池山王,SRC,8,25,R,3,201210,9,39400000
日の出,RC,2,22,K,1,201509,3,25900000
芝公園,SRC,6,82,R,2,201509,21,163900000
浜松町,RC,4,39,K,1,200710,7,49400000
赤羽橋,RC,10,22,R,1,197808,4,14800000
田町,SRC,5,97,R,2,200106,14,98600000
溜池山王,RC,1,50,K,1,200911,16,78400000
白金高輪,RC,5,26,K,2,201206,10,36200000
六本木,RC,7,61,K,1,196903,1,51500000
白金高輪,SRC,14,144,R,2,199711,14,142600000
泉岳寺,SRC,15,37,K,1,200001,5,28100000
虎ノ門,RC,10,88,K,1,200602,21,112400000
大門,SRC,4,54,R,2,197711,39,44600000
表参道,RC,10,70,R,3,200303,3,87600000
白金台,SRC,8,67,DK,2,199201,29,72900000
浜松町,RC,4,25,R,1,200608,1,22600000
汐留,SRC,6,63,K,1,200209,19,94400000
白金高輪,RC,2,99,R,2,197810,2,89200000
御成門,SRC,7,90,R,2,200511,12,100700000
お台場海浜公園,SRC,10,81,R,1,201603,9,110000000
赤羽橋,SRC,10,19,K,1,199202,14,14900000
渋谷,RC,6,20,R,1,199803,18,19900000
三田,RC,2,66,R,1,200103,30,74200000
六本木,SRC,4,44,DK,1,201505,4,81300000
表参道,RC,20,74,R,1,200610,18,95700000
白金高輪,SRC,6,58,DK,1,197103,4,43200000
広尾,SRC,10,97,R,2,201601,2,188500000
麻布十番,SRC,3,71,K,1,198201,4,68600000
新橋,SRC,2,54,R,1,200510,12,61500000
日の出,SRC,8,25,R,3,200610,49,30200000
白金高輪,SRC,14,70,DK,1,200510,5,64900000
浜松町,SRC,4,15,R,1,197909,14,10400000
赤羽橋,RC,5,52,K,2,200510,24,70100000
赤羽橋,SRC,12,42,K,1,201401,35,59000000
白金台,SRC,2,72,K,2,198003,9,63600000
青山一丁目,RC,4,20,R,3,198406,1,17000000
表参道,RC,1,81,K,2,200608,2,133800000
神谷町,SRC,3,82,DK,1,200105,6,96400000
赤羽橋,SRC,6,101,R,1,199110,3,100200000
六本木,SRC,1,120,K,2,197907,2,123400000
白金台,RC,5,84,DK,2,200310,9,117300000
外苑前,SRC,8,47,K,1,201505,3,75700000
お台場海浜公園,RC,10,41,R,1,200502,28,39100000
麻布十番,RC,12,144,R,3,201109,10,197100000
外苑前,RC,3,83,K,3,199508,8,103300000
表参道,RC,8,74,R,1,200003,2,98500000
表参道,SRC,10,56,R,1,198010,8,51700000
乃木坂,SRC,6,26,K,1,197105,4,14700000
六本木,SRC,1,16,R,1,201507,11,40500000
お台場海浜公園,SRC,12,68,K,1,201509,3,69900000
目黒,RC,6,25,R,1,201501,2,25600000
日の出,RC,1,25,R,1,201111,25,38300000
六本木,RC,6,82,R,1,200203,3,108900000
高輪台,SRC,2,55,R,1,201007,8,76200000
青山一丁目,RC,10,33,K,2,200401,9,34500000
溜池山王,SRC,4,37,K,2,200509,16,46800000
乃木坂,RC,4,68,K,2,201007,3,85000000
お台場海浜公園,RC,7,65,R,1,200502,4,53700000
白金台,RC,2,50,R,2,200001,10,57200000
外苑前,SRC,4,21,R,2,200111,15,26700000
品川,RC,7,80,R,3,198011,4,72300000
高輪台,SRC,1,17,R,1,200409,6,21500000
六本木一丁目,SRC,8,64,K,2,197804,10,55400000
三田,SRC,5,51,K,1,200602,5,55600000
五反田,SRC,12,60,R,1,200510,6,50100000
泉岳寺,RC,5,45,K,1,197105,3,35200000
日の出,SRC,7,70,K,3,200510,18,85400000
高輪台,RC,3,70,R,2,197711,2,51100000
赤坂見附,SRC,12,81,R,1,200409,12,81100000
青山一丁目,SRC,6,138,DK,1,200510,23,235200000
目黒,RC,3,66,K,3,197302,5,48600000
高輪台,SRC,4,99,K,2,201310,2,142100000
五反田,SRC,10,108,DK,2,200610,5,117400000
日の出,SRC,5,50,R,1,200604,38,64500000
品川,SRC,8,80,K,1,200506,32,89400000
表参道,RC,4,72,K,1,200303,2,106600000
日の出,SRC,1,64,R,1,198311,3,46100000
赤坂,SRC,5,54,K,2,200502,11,73000000
北品川,SRC,5,65,DK,1,200511,7,68200000
赤羽橋,RC,3,25,R,1,200710,2,32000000
大門,SRC,13,108,R,1,197808,5,74900000
白金台,SRC,12,57,R,3,200411,7,56700000
広尾,SRC,9,79,K,1,200209,12,109700000
日の出,RC,4,102,R,1,201509,12,155300000
品川,RC,6,84,K,1,201112,4,105900000
乃木坂,SRC,2,55,R,1,200007,4,60500000
五反田,SRC,2,35,R,1,200510,39,43100000
三田,SRC,2,61,K,1,200710,1,60700000
青山一丁目,RC,2,70,K,1,200906,7,96300000
目黒,SRC,2,75,R,3,200506,23,88500000
溜池山王,SRC,3,79,K,1,200610,8,103300000
天王洲アイル,SRC,4,25,R,1,200610,32,31600000
表参道,SRC,6,54,DK,1,201410,2,101700000
三田,RC,12,45,R,3,201405,12,45400000
六本木一丁目,SRC,5,85,R,1,197712,5,75900000
北品川,RC,12,21,R,1,201012,8,22200000
御成門,SRC,10,19,R,1,200804,14,24700000
天王洲アイル,SRC,8,20,R,2,197511,6,18100000
赤羽橋,RC,8,60,K,1,200104,12,61700000
三田,RC,6,55,R,1,201103,18,65200000
表参道,SRC,7,25,R,3,199802,8,29800000
白金高輪,SRC,6,93,K,1,197808,1,72200000
高輪台,SRC,7,59,K,3,200409,12,61700000
麻布十番,SRC,15,53,K,1,200311,7,55400000
溜池山王,RC,10,86,DK,3,199803,10,94400000
渋谷,SRC,4,37,R,1,197904,6,22400000
芝浦ふ頭,RC,14,59,R,2,200209,24,48800000
高輪台,RC,6,31,DK,2,197803,1,25600000
外苑前,SRC,10,39,K,1,200401,7,47100000
御成門,SRC,9,56,K,2,201302,11,72800000
三田,RC,13,80,R,2,200302,9,68700000
表参道,RC,4,82,K,2,201005,17,174200000
渋谷,RC,1,38,DK,1,200610,8,39100000
お台場海浜公園,RC,2,49,K,1,198306,7,37500000
芝浦ふ頭,RC,1,53,R,2,197103,25,44400000
神谷町,SRC,2,24,R,2,200105,4,25500000
青山一丁目,RC,4,88,K,1,201402,27,164800000
広尾,SRC,10,21,K,1,196904,4,13000000
御成門,RC,3,81,K,1,197708,11,75800000
お台場海浜公園,SRC,2,80,K,1,200003,24,79800000
赤坂見附,SRC,2,60,K,1,197512,3,43400000
赤坂,RC,5,66,R,2,200708,4,98000000
品川,RC,7,73,K,1,200610,6,75300000
三田,SRC,6,67,R,1,200704,10,71100000
三田,SRC,5,74,R,2,200810,5,91100000
麻布十番,SRC,3,81,K,1,201708,12,222000000
三田,RC,13,70,R,2,200311,3,52400000
表参道,RC,5,61,R,3,200610,6,95000000
芝浦ふ頭,RC,8,55,DK,2,199004,3,47100000
新橋,SRC,6,70,R,1,200710,3,71600000
赤羽橋,RC,2,22,K,1,198204,3,13000000
白金高輪,SRC,3,68,R,2,200401,3,74300000
泉岳寺,SRC,6,33,R,1,198201,27,24000000
泉岳寺,RC,11,60,DK,2,196903,6,36900000
北品川,RC,1,118,DK,1,201003,6,161100000
芝浦ふ頭,RC,6,26,R,1,197902,13,13100000
溜池山王,SRC,6,25,R,1,200310,3,28300000
白金高輪,SRC,7,71,DK,1,196512,10,57400000
天王洲アイル,RC,5,51,K,2,200610,3,48100000
赤坂,SRC,2,72,R,1,197910,12,67800000
神谷町,SRC,12,55,K,2,201408,5,77600000
浜松町,RC,9,42,DK,1,200304,33,47000000
浜松町,RC,5,70,R,3,198111,3,52900000
五反田,SRC,3,30,R,2,198111,12,23900000
目黒,RC,2,81,K,2,198201,12,65000000
白金高輪,RC,3,71,K,2,200209,3,74700000
青山一丁目,SRC,7,40,K,1,198203,30,38900000
白金台,RC,9,61,K,2,200501,3,71700000
青山一丁目,RC,10,82,K,3,200804,12,115900000
青山一丁目,RC,10,40,R,2,200610,6,46200000
芝公園,RC,8,65,K,1,200202,1,56400000
浜松町,SRC,2,13,R,3,200105,10,18200000
広尾,SRC,9,70,R,1,200511,18,93300000
泉岳寺,RC,8,21,K,2,198003,5,12200000
大門,SRC,9,33,K,2,201401,2,39300000
青山一丁目,RC,2,53,DK,3,200510,6,63000000
乃木坂,RC,3,23,R,1,201603,10,35500000
赤羽橋,RC,6,42,R,3,200411,9,42400000
品川,SRC,3,95,DK,3,199902,7,108200000
お台場海浜公園,SRC,10,75,K,3,200106,27,69100000
渋谷,RC,11,20,R,3,197804,3,17000000
六本木一丁目,SRC,6,86,DK,3,199707,7,107800000
日の出,SRC,8,83,K,2,197512,13,62000000
北品川,RC,12,94,DK,1,200511,9,77300000
六本木,RC,5,55,K,2,201302,20,81300000
六本木,RC,8,97,K,2,201005,7,164400000
高輪台,RC,4,89,R,3,201003,4,125000000
神谷町,SRC,2,20,K,1,197911,11,17400000
浜松町,RC,2,58,DK,1,200509,17,72900000
赤羽橋,RC,8,66,R,3,197808,6,50300000
赤坂,RC,3,104,R,1,201401,17,221900000
外苑前,RC,2,55,R,2,201902,7,96800000
五反田,SRC,8,30,K,1,200110,8,22300000
溜池山王,SRC,1,63,K,2,200401,30,93900000
六本木一丁目,SRC,8,60,DK,2,197011,4,48200000
日の出,SRC,4,53,K,3,200510,8,54000000
芝浦ふ頭,RC,4,86,R,1,199803,33,94300000
白金台,SRC,8,74,R,1,200407,23,99700000
お台場海浜公園,SRC,7,88,K,1,201003,7,107000000
赤羽橋,RC,5,63,R,2,200802,10,78700000
泉岳寺,RC,10,40,K,1,199104,21,35200000
六本木一丁目,SRC,1,52,R,1,198301,36,51600000
汐留,SRC,8,38,DK,1,201503,8,51900000
乃木坂,RC,3,37,R,1,196512,7,32200000
品川,SRC,2,58,R,1,200608,19,74500000
六本木一丁目,SRC,13,28,R,2,200503,3,27100000
日の出,SRC,3,37,K,2,201111,1,35700000
芝浦ふ頭,SRC,2,42,R,1,201206,4,49600000
表参道,SRC,2,56,R,2,200503,4,80500000
泉岳寺,SRC,13,71,R,2,197803,14,49200000
天王洲アイル,SRC,9,130,R,1,200510,8,143800000
赤羽橋,RC,1,62,K,1,198009,12,51300000
白金台,SRC,3,64,R,1,200610,9,95700000
御成門,RC,8,21,R,1,198009,2,18000000
お台場海浜公園,RC,2,15,R,2,197808,11,8700000
目黒,RC,6,60,R,2,199807,5,60200000
三田,RC,8,28,DK,2,201102,8,31900000
汐留,SRC,12,78,R,1,201310,18,125500000
神谷町,RC,3,64,K,2,201002,2,93200000
青山一丁目,RC,2,75,K,1,197005,12,72000000
白金台,RC,12,54,DK,3,200609,12,58500000
赤坂見附,RC,3,30,R,1,197907,4,26900000
広尾,RC,4,25,K,2,197904,3,23900000
お台場海浜公園,SRC,4,63,K,1,200511,4,55500000
三田,SRC,1,16,R,3,201402,7,24300000
芝公園,SRC,4,81,K,3,200307,20,106800000
芝公園,RC,1,87,DK,1,200603,3,103600000
六本木一丁目,SRC,13,27,R,1,198205,5,21400000
赤坂見附,SRC,12,72,R,1,198007,5,52800000
麻布十番,SRC,14,60,R,2,198102,2,48800000
赤坂見附,RC,6,57,K,1,200710,13,77600000
溜池山王,RC,5,91,R,2,201407,2,140300000
外苑前,RC,9,44,R,2,200610,4,47200000
高輪台,SRC,5,70,R,2,201405,2,95200000
赤坂見附,RC,12,23,K,1,198003,8,19200000
芝公園,RC,6,79,R,1,201403,7,104300000
青山一丁目,SRC,8,22,R,1,200610,1,25200000
溜池山王,RC,2,72,R,1,201202,15,107100000
白金高輪,SRC,2,59,K,3,200502,7,68100000
新橋,SRC,8,70,K,1,200507,5,66500000
渋谷,SRC,1,63,K,1,197311,36,51000000
五反田,RC,5,62,K,4,197512,10,47100000
お台場海浜公園,SRC,2,70,R,1,200001,28,67700000
渋谷,RC,1,44,R,1,201509,4,58700000
広尾,RC,3,80,K,2,201005,1,118200000
白金台,RC,9,161,K,1,200409,10,280000000
高輪台,RC,12,31,DK,1,200511,4,27600000
田町,SRC,13,26,K,1,200610,8,21600000
高輪台,RC,8,101,R,1,200804,7,141000000
五反田,SRC,7,60,R,1,199806,12,54500000
田町,SRC,5,71,R,2,200011,34,85300000
芝浦ふ頭,SRC,12,70,K,1,199508,9,43700000
六本木,RC,2,76,DK,1,197712,12,82800000
お台場海浜公園,RC,4,25,DK,1,198406,10,15700000
赤坂,RC,2,130,R,1,198102,3,109100000
お台場海浜公園,RC,8,44,R,1,200611,4,40000000
赤坂,SRC,1,91,R,2,198102,7,85300000
目黒,RC,14,81,R,2,200511,4,71500000
白金高輪,RC,4,63,R,4,198201,32,59400000
溜池山王,RC,8,78,DK,2,201109,8,103000000
六本木一丁目,RC,3,55,R,2,200906,34,97900000
五反田,SRC,3,20,R,2,201210,12,28800000
渋谷,RC,2,107,K,3,200603,3,125700000
新橋,RC,3,45,K,1,201005,8,54600000
大門,RC,2,51,R,3,197103,10,42300000
新橋,SRC,5,81,K,2,200511,1,83800000
五反田,SRC,3,80,R,2,197808,8,62700000
虎ノ門,RC,10,87,R,2,200507,2,96200000
目黒,SRC,4,124,DK,1,200307,44,190800000
田町,SRC,5,100,R,3,199909,B4,121200000
青山一丁目,RC,3,58,R,1,200710,13,77600000
泉岳寺,RC,5,100,K,1,200906,6,136800000
麻布十番,SRC,13,40,R,1,201505,14,66700000
泉岳寺,SRC,6,34,R,3,201509,37,52600000
三田,RC,9,51,K,1,197909,13,43100000
神谷町,RC,8,56,R,1,197311,4,41600000
高輪台,SRC,4,79,K,3,200510,6,86100000
六本木,RC,6,60,R,2,200508,7,87200000
白金高輪,SRC,5,61,R,1,199901,39,79600000
乃木坂,SRC,10,53,K,2,201403,4,76200000
外苑前,RC,5,21,R,2,201503,4,30200000
新橋,SRC,6,31,K,1,197202,4,25700000
白金台,RC,9,71,DK,2,199809,3,82100000
日の出,RC,14,90,K,2,199807,22,75100000
虎ノ門,RC,6,44,R,1,197911,6,34200000
広尾,RC,2,78,R,2,198003,14,78800000
御成門,SRC,3,25,DK,1,200610,23,33300000
青山一丁目,SRC,2,28,K,1,199711,9,32600000
外苑前,SRC,8,55,R,2,200602,7,63000000
目黒,RC,1,40,R,1,200110,23,43700000
六本木,SRC,12,102,R,2,201108,4,161700000
お台場海浜公園,RC,3,57,K,3,198206,7,41800000
天王洲アイル,SRC,4,34,LK,2,200810,13,33400000
五反田,RC,5,52,DK,2,198609,17,49400000
大門,RC,3,54,K,2,200012,12,57400000
虎ノ門,RC,4,61,R,1,200304,17,89600000
溜池山王,RC,3,80,K,1,200605,25,125500000
青山一丁目,RC,5,76,R,1,200209,11,89200000
赤坂見附,RC,9,38,R,1,200608,13,46900000
浜松町,RC,1,72,K,3,199812,12,65200000
六本木一丁目,SRC,2,63,K,1,200511,10,93200000
泉岳寺,SRC,6,62,R,1,198010,6,53100000
六本木,RC,11,44,K,1,201401,33,61800000
六本木,RC,5,77,DK,4,200508,2,110800000
溜池山王,SRC,10,43,DK,2,200001,5,38500000
麻布十番,RC,6,121,K,1,199703,3,174600000
神谷町,RC,1,67,R,2,201109,8,104300000
品川,SRC,5,92,R,2,197907,30,98600000
六本木一丁目,RC,6,45,R,1,201202,11,67200000
田町,RC,12,61,DK,1,200511,3,47300000
広尾,RC,5,22,R,1,200311,3,25900000
目黒,SRC,2,54,K,1,200610,1,50100000
泉岳寺,SRC,3,37,K,2,200401,5,39100000
高輪台,SRC,13,50,K,1,199711,4,35900000
神谷町,RC,8,84,R,2,200510,4,101500000
浜松町,SRC,4,38,K,1,201011,12,47700000
品川,SRC,10,53,R,2,200409,9,42700000
北品川,SRC,8,111,R,1,200608,5,121800000
三田,RC,9,68,K,1,201505,3,73300000
芝公園,SRC,7,21,DK,2,198301,3,22000000
麻布十番,SRC,8,26,R,1,200508,4,33900000
乃木坂,RC,5,66,R,2,198102,10,54500000
渋谷,RC,2,63,R,2,201509,12,76500000
六本木一丁目,SRC,11,42,K,1,199807,14,40300000
白金台,RC,11,65,K,1,200708,3,71500000
天王洲アイル,SRC,2,108,R,1,200011,10,127800000
赤羽橋,RC,2,60,R,1,200702,5,77400000
六本木一丁目,SRC,3,26,R,1,197811,5,15000000
お台場海浜公園,RC,10,40,R,1,197103,11,23500000
神谷町,RC,6,13,K,1,200212,5,21200000
白金高輪,RC,5,56,K,1,200209,5,66600000
五反田,RC,4,50,DK,2,197203,22,42200000
神谷町,SRC,3,87,R,1,201308,18,206300000
虎ノ門,SRC,12,110,K,2,201401,6,154500000
外苑前,RC,5,97,R,1,201405,24,199500000
お台場海浜公園,SRC,6,24,DK,3,200102,18,28300000
汐留,SRC,5,71,R,3,201301,6,114900000
渋谷,RC,3,38,R,3,201105,9,43200000
赤羽橋,SRC,8,55,R,2,198110,6,43200000
大門,RC,10,60,DK,3,200708,3,59500000
高輪台,SRC,10,47,R,1,200507,2,48800000
